Row Labels,Max of Federal Loan 3-Year Default Rate,Max of 2012 4-Year Grad Rate,Max of % Pell Recipients Among Freshmen,Max of Estimated Median SAT / ACT,Max of Average Student Loan (all sources),Max of Average Net Price After Grants,"Max of % Degrees Awarded in Science, Technology, Engineering, and Math",Max of % Admitted,Max of Average High School GPA Among College Freshmen
AI Miami International University of Art and Design,0.222,0.297,0.679,0,7646,24599,0.088,0.383,0
Martin Methodist College,0.222,0.297,0.653,0,5047,9911,0.118,1,0
Southern Illinois University Edwardsville,0.075,0.298,0.396,1030,5715,14294,0.205,0.805,0
Berkeley College-New York,0.204,0.298,0.682,0,6592,25121,0,1,0
The Art Institute of California-Argosy University San Diego,0.158,0.301,0.608,0,7531,25276,0.227,0.439,0
International Academy of Design and Technology-Seattle,0.268,0.302,0.536,0,8692,18850,0,1,0
ECPI University,0.15,0.304,0.65,0,7650,18375,0.655,0.757,0
Evangel University,0.069,0.305,0.504,1050,7201,20975,0.08,0.696,0
Keystone College,0.12,0.305,0.516,885,7784,12153,0.05,0.913,0
DeVry University-Ohio,0.234,0.307,0.84,0,8015,23427,0.345,0.903,0
Sanford-Brown College-Fenton,0.235,0.308,0.837,0,8593,14203,0,1,0
ITT Technical Institute-Boise,0.292,0.308,0.8,0,9128,23354,0.462,0.577,0
Hobe Sound Bible College,0.105,0.313,0.667,0,2629,3901,0,1,0
Virginia College-Birmingham,0.282,0.314,0.967,0,9513,19757,0.07,1,0
Everest University-Brandon,0.232,0.315,0.948,0,8553,22978,0.046,1,0
The Art Institute of Phoenix,0.262,0.317,0.579,0,7928,24173,0.188,0.417,0
Caribbean University-Carolina,0.299,0.317,0.928,0,2229,3672,0,1,0
Rutgers University-Camden,0.051,0.323,0.387,1076,7145,11353,0.108,0.538,0
Rutgers University-Newark,0.051,0.323,0.472,1065,6879,10126,0.12,0.54,0
DeVry University-Arizona,0.234,0.326,0.738,0,8374,24479,0.405,0.919,0
Emmaus Bible College,0.051,0.327,0.592,0,5580,14793,0.119,1,0
Muskingum University,0.067,0.327,0.48,1010,7419,17750,0.181,0.77,0
Missouri College,0.19,0.327,0.827,0,7611,12862,0,1,0
Caldwell College,0.109,0.331,0.467,915,5878,17376,0.106,0.625,0
Visible Music College,0.032,0.333,0.619,930,6582,25084,0,0.889,0
Ecclesia College,0.166,0.333,0.615,0,4647,19363,0,0.414,0
Westwood College-Annandale,0.247,0.333,0.822,0,16160,25832,0.092,0.582,0
DigiPen Institute of Technology,0.053,0.337,0.642,1188,14124,31763,0.554,0.492,0
Rocky Mountain College of Art and Design,0.059,0.338,0.43,0,7280,27631,0,1,0
William Carey University,0.107,0.338,0.694,1070,4855,13311,0.062,0.828,0
School of the Art Institute of Chicago,0.096,0.34,0.216,570,9739,44838,0,0.766,0
Molloy College,0.069,0.341,0.328,1060,4276,21131,0.049,0.634,0
St. Mary's University,0.08,0.341,0.571,1025,6986,17076,0.254,0.611,0
The Art Institute of Houston,0.252,0.342,0.636,0,7799,25557,0.206,0.424,0
DeVry University-Florida,0.234,0.344,0.825,0,8316,24944,0.282,0.824,0
Montclair State University,0.057,0.348,0.403,990,8132,13043,0.104,0.567,0
ITT Technical Institute-Kansas City,0.292,0.348,0.756,0,8118,23987,0.5,0.855,0
Trinity Baptist College,0.148,0.35,0.737,849,4649,11993,0,0.476,0
University of Detroit Mercy,0.073,0.354,0.324,1125,7542,22235,0.186,0.534,0
Westwood College-Inland Empire,0.203,0.354,0.825,0,15349,22629,0.132,0.653,0
Pontifical College Josephinum,0,0.357,0.667,1085,6273,30913,0,0.92,0
Medaille College,0.118,0.357,0.617,890,8565,15669,0.029,0.684,0
Millersville University of Pennsylvania,0.052,0.361,0.301,1050,7058,14449,0.212,0.577,0
The Illinois Institute of Art-Schaumburg,0.199,0.361,0.592,0,7928,24072,0.199,0.995,0
University of Wisconsin-La Crosse,0.018,0.362,0.2,1130,6336,12279,0.187,0.779,0
School of the Museum of Fine Arts-Boston,0.06,0.363,0.368,0,8124,38555,0,0.856,0
Unity College,0.063,0.363,0.414,0,8477,22287,0.412,0.615,0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,0,0.364,0.514,0,0,6793,0,1,0
American Indian College of the Assemblies of God Inc,0.176,0.364,0.917,0,3197,18684,0,1,0
The Art Institute of Pittsburgh,0.254,0.365,0.625,0,8908,26555,0.11,0.386,0
Texas Tech University,0.089,0.369,0.265,1105,7418,12982,0.196,0.663,0
Mesivta Keser Torah,0,0.375,0.5,0,0,20105,0,1,0
College America-Denver,0.351,0.375,0.41,0,10786,16046,0.15,1,0
North Park University,0.094,0.376,0.414,1030,6648,20568,0.075,0.466,0
Stevens-Henager College-Logan,0.341,0.38,0.905,0,9510,20711,0.244,1,0
Northpoint Bible College,0.07,0.381,0.596,0,8886,17669,0,1,0
Embry-Riddle Aeronautical University-Worldwide,0.073,0.385,0.279,0,6458,16305,0,0.958,0
Blessing Rieman College of Nursing,0.078,0.387,0,0,0,0,0,0,0
Collins College,0.268,0.391,0.721,0,7924,20817,0.007,1,0
New England School of Communications,0.131,0.392,0.504,0,7492,19051,0,0.612,0
Eureka College,0.071,0.394,0.447,1050,7627,17055,0.142,0.716,0
Brooks Institute,0.116,0.394,0.353,0,7746,24716,0,0.983,0
Schiller International University,0.064,0.4,1,0,11462,25892,0,1,0
Bauder College,0.29,0.4,0.884,0,8296,22363,0,1,0
Westwood College-Denver North,0.203,0.402,0.707,0,15265,21767,0.308,0.559,0
The Richard Stockton College of New Jersey,0.072,0.403,0.374,1065,9284,17591,0.169,0.645,0
University of Hartford,0.053,0.405,0.317,1055,9427,27802,0.227,0.616,0
University of Maine at Farmington,0.078,0.409,0.525,0,8143,13822,0.081,0.817,0
Digital Media Arts College,0.104,0.41,0.625,0,8446,19691,0.4,1,0
Oral Roberts University,0.118,0.412,0.385,1050,7937,18724,0.083,0.593,0
Everest University-Tampa,0.232,0.412,0.939,0,13071,19933,0.029,1,0
Brown College-Mendota Heights,0.154,0.413,0.617,0,8149,19158,0.064,1,0
Northland International University,0.01,0.417,0.597,0,5752,15360,0,0.54,0
Mercy College of Ohio,0.082,0.417,0.594,0,6021,17182,0,0.747,0
Milwaukee Institute of Art & Design,0.15,0.418,0.406,0,6910,24653,0,0.61,0
Stevens Henager College,0.341,0.427,0.697,0,960,24601,0.217,1,0
Everest University-North Orlando,0.221,0.429,1,0,10890,19720,0.039,1,0
Talmudical Yeshiva of Philadelphia,0,0.432,0.29,0,0,9998,0,0.736,0
Platt College-Ontario,0.176,0.433,0.658,0,8399,27809,0,1,0
Brookline College-Phoenix,0.157,0.434,0.828,0,10890,24823,0,1,0
American Academy of Art,0.137,0.438,0.598,0,9274,23511,0.031,0.905,0
Massachusetts Maritime Academy,0.058,0.439,0.17,1040,8102,13624,0.483,0.628,0
Hannibal-LaGrange University,0.065,0.439,0.386,1050,7228,15740,0.039,0.597,0
California Institute of the Arts,0.113,0.442,0.271,0,10537,42616,0,0.269,0
Berklee College of Music,0.115,0.442,0.169,0,13301,40145,0,0.28,0
Olivet Nazarene University,0.064,0.443,0.296,1085,7056,19929,0.08,0.8,0
College of Saint Elizabeth,0.074,0.443,0.749,835,7091,16408,0.058,0.526,0
Keiser University-Ft Lauderdale,0.186,0.443,0.699,0,11557,21682,0.023,0.889,0
Touro College,0.113,0.451,0.613,0,3500,15787,0.109,0.56,0
Palm Beach Atlantic University,0.094,0.452,0.342,1040,6268,23743,0.074,0.83,0
Anthem College-Phoenix,0.122,0.453,0.649,0,6163,0,0,1,0
Everest University-Jacksonville,0.217,0.455,0.872,0,11391,20129,0,1,0
Humphreys College-Stockton and Modesto Campuses,0.143,0.457,0.667,0,5462,13835,0,1,0
University of Missouri-Columbia,0.061,0.467,0.232,1165,6386,16505,0.172,0.811,0
Regis University,0.049,0.47,0.296,1125,7140,23951,0.101,0.759,0
Appalachian Bible College,0.05,0.472,0.644,1030,4427,13545,0,0.656,0
University of Minnesota-Morris,0.076,0.475,0.329,1165,7907,14748,0.254,0.619,0
Southern California Institute of Technology,0.136,0.477,0.825,0,10266,23771,0.75,1,0
Le Cordon Bleu College of Culinary Arts-Scottsdale,0.285,0.48,0.61,0,7430,19060,0,1,0
Adrian College,0.1,0.484,0.474,1010,6719,18190,0.13,0.644,0
Texas A & M University-College Station,0.059,0.487,0.228,1210,5929,12417,0.293,0.634,0
The New School,0.072,0.489,0.236,1125,8805,41310,0,0.693,0
Wilkes University,0.074,0.489,0.364,1065,9027,23066,0.193,0.755,0
Minnesota School of Business-Rochester,0.128,0.5,0.64,0,13259,21466,0.127,1,0
Puerto Rico Conservatory of Music,0.222,0.5,0.733,0,4500,5758,0,0.546,0
Westwood College-Anaheim,0.203,0.504,0.812,0,16351,22083,0.151,0.591,0
University of Minnesota-Twin Cities,0.038,0.505,0.224,1245,7084,14516,0.266,0.466,0
The University of Texas at Austin,0.055,0.506,0.269,1250,5957,15844,0.285,0.466,0
Eastern University,0.086,0.512,0.434,1055,7878,22716,0.034,0.743,0
Ohio Northern University,0.03,0.514,0.28,1205,10342,24590,0.333,0.821,0
Spartan College of Aeronautics and Technology,0.236,0.52,0.651,0,9531,18008,0.588,0.672,0
State University of New York at New Paltz,0.066,0.522,0.293,1135,5580,13168,0.075,0.374,0
Everglades University,0.159,0.525,0.661,0,13691,22303,0,0.855,0
Ohio State University-Main Campus,0.071,0.526,0.214,1265,7034,19998,0.197,0.633,0
Monroe College-Main Campus,0.109,0.528,0.825,0,4824,11589,0.077,0.608,0
Saint Edward's University,0.076,0.533,0.399,1120,8557,20558,0.065,0.637,0
Springfield College,0.088,0.536,0.242,1010,8431,28122,0.044,0.678,0
Westwood College-South Bay,0.247,0.54,0.894,0,16579,24001,0.055,0.531,0
Hellenic College-Holy Cross Greek Orthodox School of Theology,0.06,0.542,0.462,0,3117,19577,0,1,0
Champlain College,0.052,0.558,0.238,1105,7801,31160,0.214,0.846,0
Baylor University,0.065,0.559,0.213,1235,9633,28055,0.193,0.397,0
Erskine College,0.06,0.567,0.384,1030,6125,18447,0.292,0.668,0
Rutgers University-New Brunswick,0.051,0.569,0.314,1195,8042,15922,0.252,0.611,0
College of Our Lady of the Elms,0.091,0.569,0.51,930,8295,20153,0.057,0.831,0
Merrimack College,0.031,0.573,0.321,0,10332,26930,0.192,0.879,0
Simpson College,0.033,0.575,0.313,1090,8402,19963,0.154,0.848,0
Cleveland Institute of Music,0.052,0.576,0.218,0,7250,36529,0,0.399,0
Texas Christian University,0.057,0.576,0.111,1205,7839,29467,0.099,0.377,0
Stevens-Henager College-Murray,0.341,0.578,0.7,0,4078,23559,0.083,1,0
The Boston Conservatory,0.094,0.581,0.196,0,10773,43894,0,1,0
Marquette University,0.036,0.595,0.178,1205,8146,30452,0.255,0.568,0
Baptist Memorial College of Health Sciences,0.063,0.595,0.343,1110,6300,14075,0,0.68,0
University of New Hampshire-Main Campus,0.034,0.602,0.218,1100,8620,21424,0.21,0.742,0
Rensselaer Polytechnic Institute,0.025,0.604,0.155,1375,9387,35701,0.811,0.396,0
Pennsylvania Academy of the Fine Arts,0.092,0.605,0.286,0,3803,33848,0,0.892,0
Central Bible College,0.103,0.612,0.823,0,8469,13914,0,1,0
San Francisco Conservatory of Music,0.074,0.615,0.333,0,6929,30003,0,0.408,0
Case Western Reserve University,0.017,0.627,0.184,1340,6727,27997,0.531,0.513,0
John Paul the Great Catholic University,0,0.632,0.2,0,9153,30081,0,1,0
University of Florida,0.038,0.643,0.321,1260,5380,13619,0.259,0.432,0
University of Vermont,0.025,0.651,0.214,1185,6695,15498,0.181,0.754,0
Bellin College,0.026,0.652,0,1090,0,0,0,0.381,0
Southwestern University,0.05,0.67,0.262,1225,8290,25312,0.189,0.648,0
Lebanon Valley College,0.034,0.671,0.224,0,8749,26619,0.123,0.675,0
University of Connecticut,0.031,0.674,0.184,1220,6638,16357,0.198,0.473,0
College America-Colorado Springs,0.351,0.677,0.969,0,10786,21500,0.405,1,0
International Business College,0.092,0.68,0.751,0,7032,14303,0,0.749,0
Providence Christian College,0,0.682,0.563,0,5474,16747,0,0.5,0
Northwest College of Art & Design,0.135,0.684,0.5,0,15653,25808,0,0.605,0
University of Illinois at Urbana-Champaign,0.034,0.687,0.21,1285,6622,16495,0.306,0.676,0
Ithaca College,0.029,0.697,0.218,1145,5911,32429,0.078,0.682,0
Saint Charles Borromeo Seminary-Overbrook,0,0.7,0.333,0,5500,30770,0,1,0
Elizabethtown College,0.036,0.705,0.204,1125,7690,25258,0.241,0.658,0
The New England Conservatory of Music,0.014,0.707,0.156,0,8128,36746,0,0.27,0
Pacific States University,0.25,0.714,0,0,0,0,0,1,0
The College of New Jersey,0.028,0.724,0.185,1230,9619,17949,0.21,0.464,0
George Washington University,0.015,0.739,0.123,1300,7448,31443,0.115,0.317,0
Yeshiva Shaar Hatorah,0,0.75,0.115,0,0,9300,0,0.8,0
Trinity College,0.037,0.766,0.103,1275,6200,20301,0.143,0.304,0
University of Richmond,0.037,0.773,0.147,1290,6445,22453,0.14,0.327,0
Bryn Mawr College,0.012,0.777,0.172,1315,5857,30940,0.242,0.463,0
Lehigh University,0.014,0.781,0.143,1310,7291,25331,0.422,0.334,0
Bentley University,0.014,0.785,0.143,1188,6581,29508,0.058,0.433,0
Allen College,0.017,0.786,0,0,3500,26207,0,0.75,0
California Institute of Technology,0.03,0.79,0.107,1525,5525,22645,0.983,0.128,0
Gettysburg College,0.024,0.796,0.118,1300,4876,28987,0.193,0.399,0
Stanford University,0.007,0.798,0.158,1455,6589,19233,0.426,0.071,0
Apex School of Theology,0.073,0.8,0.657,0,11969,9085,0,1,0
Full Sail University,0.134,0.802,0.751,0,10106,30769,0.146,1,0
United States Military Academy,0,0.806,0,1260,0,0,0.38,0.106,0
Dickinson College,0.018,0.809,0.104,1280,6039,31527,0.179,0.419,0
Connecticut College,0.022,0.812,0.161,0,7526,24845,0.263,0.317,0
Curtis Institute of Music,0.083,0.813,0.087,0,3107,4140,0,1,0
Wake Forest University,0.014,0.828,0.142,0,8082,32868,0.147,0.399,0
Colorado College,0.014,0.829,0.099,0,4768,23262,0.241,0.258,0
Brown University,0.02,0.83,0.147,1390,5901,23127,0.319,0.089,0
Harvey Mudd College,0,0.833,0.129,1500,6678,30205,0.883,0.21,0
Massachusetts Institute of Technology,0.017,0.836,0.17,1490,7216,20629,0.855,0.097,0
Rice University,0.029,0.837,0.166,1430,6620,19888,0.439,0.188,0
Skidmore College,0.029,0.841,0.14,1250,5584,23804,0.127,0.421,0
Wellesley College,0.017,0.843,0.171,1390,3890,19465,0.224,0.307,0
Hamilton College,0.042,0.846,0.129,1390,3502,23414,0.232,0.274,0
Bates College,0.015,0.849,0.12,0,6515,19772,0.197,0.269,0
United States Naval Academy,0,0.856,0,1270,0,0,0.613,0.074,0
Macalester College,0.006,0.856,0.176,1365,5817,23555,0.269,0.35,0
Amherst College,0.045,0.856,0.197,1425,5197,22022,0.215,0.133,0
Colby College,0.021,0.857,0.109,1335,6632,17842,0.193,0.294,0
Northwestern University,0.018,0.858,0.144,1455,6084,28868,0.24,0.231,0
Swarthmore College,0.006,0.859,0.166,1440,4544,20112,0.328,0.151,0
Grinnell College,0.015,0.859,0.248,1320,4488,22116,0.281,0.448,0
The Juilliard School,0.046,0.861,0.248,0,7473,26744,0,0.064,0
Claremont McKenna College,0.014,0.867,0.105,1390,9652,23842,0.151,0.139,0
Cornell University,0.022,0.872,0.168,1400,6315,23684,0.383,0.18,0
Duke University,0.01,0.873,0.143,1440,4878,24134,0.357,0.165,0
Tufts University,0.014,0.875,0.109,1430,6223,27525,0.267,0.219,0
Middlebury College,0.017,0.875,0.101,1385,5516,23824,0.182,0.172,0
Dartmouth College,0.024,0.878,0.129,1465,5762,20490,0.27,0.117,0
Columbia University in the City of New York,0.029,0.88,0.162,1480,7537,21274,0.328,0.095,0
Washington and Lee University,0.013,0.882,0.106,1395,5658,18788,0.221,0.182,0
Washington University in St Louis,0.02,0.882,0.065,1465,6013,32728,0.304,0.165,0
University of Notre Dame,0.008,0.887,0.118,1465,6109,24956,0.23,0.243,0
Boston College,0.025,0.889,0.124,1350,4608,24941,0.144,0.28,0
Yale University,0.019,0.89,0.119,1500,4911,18479,0.222,0.079,0
Pomona College,0.016,0.892,0.162,1460,4433,18112,0.315,0.14,0
Georgetown University,0.013,0.894,0.159,1395,6437,25993,0.073,0.202,0
Haverford College,0.033,0.895,0.144,1400,5326,20623,0.283,0.251,0
Lincoln College of Technology-West Palm Beach,0.313,0.9,0.839,0,7098,25685,0,1,0
Bowdoin College,0.012,0.907,0.116,1410,5685,24282,0.294,0.161,0
Williams College,0.026,0.908,0.193,1420,4587,17365,0.216,0.187,0
Carleton College,0.031,0.909,0.137,1415,4815,29921,0.294,0.31,0
Vatterott College-Sunset Hills,0.238,1,0.809,0,8662,16351,1,1,0
St. John's College,0.032,0.608,0.293,1310,6133,26470,0,0.863,0
Grand Total,0.666,1,1,1525,20000,66743,1,1,4.5
